root@comp3134winter2024:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
22:31:25.063127 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 3493974864:3493974956, ack 3309657429, win 501, options [nop,nop,TS val 3432284524 ecr 244478669], length 92
22:31:25.477721 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 31136:31172, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 36
22:31:25.477764 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 31172:31424, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 252
22:31:25.477811 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 31424:31460, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 36
22:31:25.477848 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 31460:31712, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 252
22:31:25.477893 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 31712:31748, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 36
22:31:25.477954 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 31748:32000, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 252
22:31:25.478003 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 32000:32036, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 36
22:31:25.478037 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 32036:32288, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 252
22:31:25.478091 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 32288:32324, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 36
22:31:25.478135 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 32324:32576, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 252
22:31:25.478201 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 32576:32612, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 36
22:31:25.478221 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 32612:32864, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 252
22:31:25.478255 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 32864:32900, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 36
22:31:25.478296 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 32900:33152, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 252
22:31:25.478342 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 33152:33188, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 36
22:31:25.478372 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 33188:33440, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 252
22:31:25.478409 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 33440:33476, ack 1, win 501, options [nop,nop,TS val 3432284939 ecr 244479016], length 36
22:31:25.478492 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 33476:33728, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 252
22:31:25.478540 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 33728:33764, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 36
22:31:25.478583 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 33764:34016, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 252
22:31:25.478618 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 34016:34052, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 36
22:31:25.478661 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 34052:34304, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 252
22:31:25.478702 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 34304:34340, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 36
22:31:25.478768 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 34340:34592, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 252
22:31:25.478806 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 34592:34628, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 36
22:31:25.478851 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 34628:34880, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 252
22:31:25.478888 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 34880:34916, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 36
22:31:25.478933 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 34916:35168, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 252
22:31:25.478969 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 35168:35204, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 36
22:31:25.479011 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 35204:35456, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 252
22:31:25.479048 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 35456:35492, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 36
22:31:25.479193 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 35492:35744, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 252
22:31:25.479237 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 35744:35780, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 36
22:31:25.479302 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 35780:36032, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 252
22:31:25.479349 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 36032:36068, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 36
22:31:25.479413 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 36068:36320, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 252
22:31:25.479455 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 36320:36356, ack 1, win 501, options [nop,nop,TS val 3432284940 ecr 244479016], length 36
22:31:25.479522 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 36356:36608, ack 1, win 501, options [nop,nop,TS val 3432284941 ecr 244479016], length 252
22:31:25.479565 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 36608:36644, ack 1, win 501, options [nop,nop,TS val 3432284941 ecr 244479016], length 36
22:31:25.479617 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 36644:36896, ack 1, win 501, options [nop,nop,TS val 3432284941 ecr 244479016], length 252
22:31:25.479654 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 36896:36932, ack 1, win 501, options [nop,nop,TS val 3432284941 ecr 244479016], length 36
22:31:25.479700 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 36932:37184, ack 1, win 501, options [nop,nop,TS val 3432284941 ecr 244479016], length 252
22:31:25.479735 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 37184:37220, ack 1, win 501, options [nop,nop,TS val 3432284941 ecr 244479016], length 36
22:31:25.479780 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 37220:37456, ack 1, win 501, options [nop,nop,TS val 3432284941 ecr 244479016], length 236
22:31:25.488827 IP cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099 > comp3134winter2024.ssh: Flags [.], ack 23072, win 10279, options [nop,nop,TS val 244479103 ecr 3432284936], length 0
22:31:25.488827 IP cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099 > comp3134winter2024.ssh: Flags [.], ack 32288, win 10306, options [nop,nop,TS val 244479108 ecr 3432284939], length 0
22:31:25.488901 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 37456:38596, ack 1, win 501, options [nop,nop,TS val 3432284950 ecr 244479103], length 1140
22:31:25.495195 IP cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099 > comp3134winter2024.ssh: Flags [.], ack 37456, win 10306, options [nop,nop,TS val 244479108 ecr 3432284941], length 0
22:31:25.502510 IP cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099 > comp3134winter2024.ssh: Flags [.], ack 38596, win 10306, options [nop,nop,TS val 244479117 ecr 3432284950], length 0
22:31:25.577710 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 38596:38848, ack 1, win 501, options [nop,nop,TS val 3432285039 ecr 244479117], length 252
22:31:25.577806 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 38848:38884, ack 1, win 501, options [nop,nop,TS val 3432285039 ecr 244479117], length 36
22:31:25.577818 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 38884:39136, ack 1, win 501, options [nop,nop,TS val 3432285039 ecr 244479117], length 252
22:31:25.577884 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 39136:39172, ack 1, win 501, options [nop,nop,TS val 3432285039 ecr 244479117], length 36
22:31:25.577908 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 39172:39424, ack 1, win 501, options [nop,nop,TS val 3432285039 ecr 244479117], length 252
22:31:25.577947 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 39424:39460, ack 1, win 501, options [nop,nop,TS val 3432285039 ecr 244479117], length 36
22:31:25.577992 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 39460:39712, ack 1, win 501, options [nop,nop,TS val 3432285039 ecr 244479117], length 252
22:31:25.578037 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 39712:39748, ack 1, win 501, options [nop,nop,TS val 3432285039 ecr 244479117], length 36
22:31:25.578070 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 39748:40000, ack 1, win 501, options [nop,nop,TS val 3432285039 ecr 244479117], length 252
22:31:25.578102 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 40000:40036, ack 1, win 501, options [nop,nop,TS val 3432285039 ecr 244479117], length 36
22:31:25.578188 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 40036:40288, ack 1, win 501, options [nop,nop,TS val 3432285039 ecr 244479117], length 252
22:31:25.578226 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 40288:40324, ack 1, win 501, options [nop,nop,TS val 3432285039 ecr 244479117], length 36
22:31:25.578269 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 40324:40576, ack 1, win 501, options [nop,nop,TS val 3432285039 ecr 244479117], length 252
22:31:25.578304 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 40576:40612, ack 1, win 501, options [nop,nop,TS val 3432285039 ecr 244479117], length 36
22:31:25.578347 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 40612:40864, ack 1, win 501, options [nop,nop,TS val 3432285039 ecr 244479117], length 252
22:31:25.578383 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 40864:40900, ack 1, win 501, options [nop,nop,TS val 3432285039 ecr 244479117], length 36
22:31:25.578427 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 40900:41152, ack 1, win 501, options [nop,nop,TS val 3432285039 ecr 244479117], length 252
22:31:25.578462 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 41152:41188, ack 1, win 501, options [nop,nop,TS val 3432285039 ecr 244479117], length 36
22:31:25.578506 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 41188:41440, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 252
22:31:25.578542 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 41440:41476, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 36
22:31:25.578582 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 41476:41728, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 252
22:31:25.578628 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 41728:41764, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 36
22:31:25.578663 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 41764:42016, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 252
22:31:25.578699 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 42016:42052, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 36
22:31:25.578742 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 42052:42304, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 252
22:31:25.578779 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 42304:42340, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 36
22:31:25.578822 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 42340:42592, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 252
22:31:25.578894 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 42592:42628, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 36
22:31:25.578916 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 42628:42880, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 252
22:31:25.578957 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 42880:42916, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 36
22:31:25.578995 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 42916:43168, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 252
22:31:25.579032 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 43168:43204, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 36
22:31:25.579072 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 43204:43456, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 252
22:31:25.579116 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 43456:43492, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 36
22:31:25.579161 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 43492:43744, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 252
22:31:25.579197 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 43744:43780, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 36
22:31:25.579239 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 43780:44032, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 252
22:31:25.579424 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 44032:44068, ack 1, win 501, options [nop,nop,TS val 3432285040 ecr 244479117], length 36
22:31:25.579512 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 44068:44320, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 252
22:31:25.579552 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 44320:44356, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 36
22:31:25.579601 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 44356:44608, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 252
22:31:25.579655 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 44608:44644, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 36
22:31:25.579682 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 44644:44896, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 252
22:31:25.579724 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 44896:44932, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 36
22:31:25.579808 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 44932:45184, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 252
22:31:25.579847 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 45184:45220, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 36
22:31:25.579889 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 45220:45472, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 252
22:31:25.579926 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 45472:45508, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 36
22:31:25.579969 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 45508:45760, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 252
22:31:25.580005 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 45760:45796, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 36
22:31:25.580057 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 45796:46048, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 252
22:31:25.580101 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 46048:46084, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 36
22:31:25.580168 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 46084:46336, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 252
22:31:25.580213 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 46336:46372, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 36
22:31:25.580268 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 46372:46624, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 252
22:31:25.580306 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 46624:46660, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 36
22:31:25.580352 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 46660:46912, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 252
22:31:25.580389 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 46912:46948, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 36
22:31:25.580432 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 46948:47200, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 252
22:31:25.580468 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 47200:47236, ack 1, win 501, options [nop,nop,TS val 3432285041 ecr 244479117], length 36
22:31:25.580512 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 47236:47488, ack 1, win 501, options [nop,nop,TS val 3432285042 ecr 244479117], length 252
22:31:25.580548 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 47488:47524, ack 1, win 501, options [nop,nop,TS val 3432285042 ecr 244479117], length 36
22:31:25.580598 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 47524:47776, ack 1, win 501, options [nop,nop,TS val 3432285042 ecr 244479117], length 252
22:31:25.580640 IP comp3134winter2024.ssh > cpef85e42a3ebf8-cmf85e42a3ebf6.cpe.net.cable.rogers.com.64099: Flags [P.], seq 47776:47812, ack 1, win 501, options [nop,nop,TS val 3432285042 ecr 244479117], length 36
